Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
498464,RO094782,Professional Services,308749 USD,2018-01-04
545070,RO874231,Various paper supplies,14023.2 USD,2018-01-16
931733,DE456232,Various paper supplies,272454 CAD,2018-01-13
510938,DE767565,Concierge Services,259193 CAD,2018-01-01
791529,FR065748,Various paper supplies,330766 EUR,2018-01-25
613956,RO094782,IT Support,240983 RON,0000-00-00
265050,RO212121,Professional Services,222551 CAD,0000-00-00
582689,RO125678,IT Support,289903 EUR,2018-01-24
309301,RO123456,Waste management services,16843.2 EUR,2018-01-14
759177,FR453231,Various paper supplies,4626 USD,2018-01-11
634772,RO125678,Waste management services,74190 CAD,2018-01-05
338977,DE987564,Beverages and Catering,37058.4 EUR,2018-02-04
124127,DE763212,Various paper supplies,64039.2 RON,2018-02-10
180917,RO125678,Beverages and Catering,274871 USD,2018-02-04
945789,RO094782,Concierge Services,114068 RON,2018-02-23
646043,RO094782,Waste management services,87976.8 USD,2018-02-02
800839,DE763212,Concierge Services,51444 RON,2018-02-05
646802,RO874231,Various paper supplies,344092 USD,2018-02-12
706282,RO123456,IT Support,93354 USD,2018-02-27
844780,RO123456,Concierge Services,66589.2 EUR,2018-02-08
412705,DE767565,Concierge Services,137933 USD,2018-02-24
441886,DE763212,Professional Services,314033 RON,2018-02-25
613848,DE767565,Professional Services,67546.8 EUR,2018-03-15
120197,DE767565,Beverages and Catering,210234 EUR,2018-03-25
489930,DE763212,Professional Services,26823.6 EUR,2018-03-19
681076,RO125678,IT Support,128222 RON,2018-03-26
193975,RO212121,Professional Services,285900 CAD,2018-03-05
766889,FR065748,Professional Services,63426 RON,2018-03-14
434169,RO212121,IT Support,108295 RON,2018-03-09
120819,DE987564,Beverages and Catering,111910 CAD,2018-03-13
216563,RO123456,IT Support,137014 RON,2018-03-13
997541,RO125678,IT Support,100472 USD,2018-03-26
346666,RO123456,IT Support,257953 CAD,2018-03-09
955308,FR322345,Waste management services,187531 EUR,2018-03-20
859246,FR322345,Waste management services,95604 USD,2018-03-28
616193,DE987564,Concierge Services,235242 RON,2018-04-17
903481,RO874231,Concierge Services,68701.2 EUR,0000-00-00
610909,RO123456,Beverages and Catering,75446.4 CAD,2018-04-21
418340,RO123456,IT Support,330320 CAD,2018-04-14
123748,DE767565,Waste management services,102168 EUR,2018-04-01
783690,DE987564,Beverages and Catering,74316 CAD,2018-04-26
375744,DE456232,Beverages and Catering,263552 RON,2018-04-05
871771,DE767565,Waste management services,340843 CAD,2018-04-14
266427,DE767565,Beverages and Catering,231902 USD,2018-04-19
880773,FR453231,Professional Services,265258 EUR,2018-04-24
244329,FR322345,Professional Services,301842 USD,2018-04-14
329245,RO874231,IT Support,104822 CAD,2018-04-16
409824,RO657483,Waste management services,118031 EUR,2018-04-20
633934,RO123456,Professional Services,185665 RON,2018-04-22
937019,DE767565,Concierge Services,289098 EUR,2018-04-24
838706,FR322345,Beverages and Catering,267455 RON,2018-04-15
844009,FR322345,Waste management services,283690 USD,2018-04-28
359058,DE456232,IT Support,342840 RON,2018-04-07
878203,RO123456,IT Support,257153 CAD,2018-04-27
249799,FR329083,Beverages and Catering,139516 EUR,2018-05-01
627179,RO123456,IT Support,30382.8 USD,2018-05-01
385050,RO125678,Concierge Services,62108.4 RON,2018-05-18
754833,FR065748,IT Support,178068 USD,2018-05-06
444897,RO125678,Concierge Services,175476 RON,2018-05-13
385747,RO657483,Professional Services,283313 USD,2018-05-12
991809,RO125678,Waste management services,310032 RON,2018-05-07
397552,RO657483,IT Support,112832 RON,2018-05-09
413338,FR065748,Concierge Services,94240.8 USD,2018-05-12
846316,RO657483,Various paper supplies,63241.2 RON,2018-05-11
885279,FR065748,Concierge Services,248482 USD,2018-05-03
604630,FR322345,Concierge Services,233308 EUR,2018-05-22
267117,DE763212,Beverages and Catering,357782 RON,0000-00-00
341791,DE767565,Beverages and Catering,313883 CAD,0000-00-00
843231,DE767565,Various paper supplies,8118 CAD,2018-05-06
536108,RO094782,Concierge Services,47662.8 CAD,2018-05-02
183286,DE987564,Professional Services,276712 CAD,2018-05-05
515347,DE767565,Concierge Services,285582 RON,2018-05-28
619946,RO125678,IT Support,195306 USD,0000-00-00
833690,RO874231,IT Support,348258 CAD,2018-06-01
723581,DE767565,Waste management services,5565.6 USD,2018-06-02
743922,DE767565,Waste management services,294095 CAD,2018-06-23
579464,FR322345,IT Support,58591.2 EUR,2018-06-24
300715,RO212121,IT Support,136760 RON,2018-06-19
547365,RO094782,IT Support,315805 CAD,2018-06-17
620397,RO123456,Various paper supplies,238009 RON,2018-06-21
682546,RO657483,Beverages and Catering,302099 CAD,2018-06-19
640597,DE763212,IT Support,227886 CAD,2018-06-22
415951,FR322345,Various paper supplies,274505 USD,2018-07-14
650610,RO094782,Various paper supplies,357122 EUR,2018-07-20
227442,RO657483,Concierge Services,289960 RON,2018-07-23
276398,DE987564,Beverages and Catering,357066 EUR,2018-07-14
684825,RO094782,Professional Services,129119 EUR,2018-07-23
910386,DE987564,Concierge Services,130424 CAD,2018-07-03
254698,DE456232,Concierge Services,181232 USD,2018-07-15
459987,RO874231,Concierge Services,289962 CAD,2018-07-22
269062,FR322345,Concierge Services,175955 EUR,2018-07-14
192179,RO657483,Beverages and Catering,99456 CAD,2018-07-11
355744,FR453231,IT Support,338716 RON,2018-07-12
673129,RO123456,Professional Services,248832 EUR,2018-07-07
667183,FR329083,Beverages and Catering,57808.8 EUR,2018-07-04
417243,FR322345,Waste management services,285400 CAD,2018-07-11
815996,FR453231,IT Support,284807 USD,2018-07-17
891845,RO212121,Concierge Services,280644 RON,2018-07-16
138798,RO094782,Various paper supplies,268268 RON,2018-08-08
636712,RO874231,IT Support,327683 USD,2018-08-27
657290,RO125678,Waste management services,278446 USD,2018-08-19
983346,RO874231,Concierge Services,313434 CAD,2018-08-26
547786,DE767565,Professional Services,180014 USD,2018-08-21
455927,FR329083,Waste management services,281092 EUR,2018-08-20
859761,RO657483,Concierge Services,122911 EUR,2018-08-24
609035,FR322345,Concierge Services,69109.2 USD,2018-08-12
402208,RO094782,Waste management services,184810 RON,2018-08-15
349487,DE763212,Various paper supplies,321566 EUR,2018-08-21
116119,DE456232,Various paper supplies,262465 EUR,2018-08-23
530412,FR453231,IT Support,79923.6 CAD,2018-08-16
520095,RO874231,Waste management services,216088 EUR,2018-09-05
960001,DE456232,Concierge Services,197381 EUR,2018-09-12
294817,DE456232,Professional Services,268948 EUR,2018-09-28
798735,DE763212,IT Support,56875.2 EUR,2018-09-26
990417,FR065748,Beverages and Catering,114898 EUR,2018-09-20
286205,RO874231,IT Support,349858 CAD,2018-09-20
340431,FR322345,Various paper supplies,100418 USD,2018-09-25
776337,RO657483,Beverages and Catering,124999 RON,2018-09-14
829254,FR453231,Concierge Services,66079.2 CAD,2018-09-12
764907,FR322345,Waste management services,280082 CAD,2018-10-01
369621,DE763212,IT Support,85162.8 USD,2018-10-27
397366,RO657483,Beverages and Catering,133250 USD,2018-10-08
235484,RO123456,Waste management services,259037 USD,2018-10-27
723936,FR065748,Waste management services,177163 EUR,2018-10-09
548898,FR065748,IT Support,223088 EUR,2018-10-15
623634,FR065748,Various paper supplies,340591 CAD,2018-10-14
766709,FR065748,Waste management services,114864 USD,2018-10-27
514316,DE987564,Various paper supplies,309377 USD,2018-10-05
136037,FR329083,Professional Services,211322 EUR,2018-10-18
244385,DE767565,Beverages and Catering,320414 RON,2018-10-14
425412,DE767565,Various paper supplies,139831 EUR,2018-10-12
811837,RO874231,IT Support,44458.8 CAD,2018-10-27
379160,FR329083,IT Support,275933 RON,2018-10-15
494463,FR065748,Beverages and Catering,196002 EUR,2018-10-22
161972,RO212121,Professional Services,216847 EUR,2018-10-09
412780,RO094782,Professional Services,321205 RON,2018-10-17
307175,FR322345,IT Support,255361 RON,2018-10-20
210038,RO094782,Concierge Services,34002 USD,2018-10-26
782341,RO123456,Waste management services,129077 USD,2018-11-08
584123,FR065748,Concierge Services,74481.6 RON,2018-11-01
631302,RO094782,Various paper supplies,99133.2 RON,2018-11-23
641968,DE987564,Professional Services,197983 RON,2018-11-02
213575,FR322345,Beverages and Catering,131813 EUR,2018-11-13
196755,DE763212,Waste management services,128938 USD,2018-11-18
928686,RO094782,Professional Services,354342 USD,2018-11-09
846189,DE987564,IT Support,173660 USD,2018-11-27
223871,FR065748,Various paper supplies,236549 CAD,2018-11-24
620770,FR065748,Waste management services,232602 CAD,2018-11-20
550927,DE456232,Beverages and Catering,344843 CAD,2018-11-23
268602,DE987564,Concierge Services,116243 CAD,2018-11-12
297746,RO874231,Professional Services,193159 USD,2018-11-16
823061,FR453231,Concierge Services,236904 RON,2018-11-18
422947,DE763212,Beverages and Catering,326752 CAD,2018-12-06
490112,RO657483,Beverages and Catering,88172.4 EUR,2018-12-05
566714,FR329083,Concierge Services,214721 EUR,2018-12-17
163187,DE987564,Concierge Services,155854 RON,2018-12-01
346609,FR322345,Waste management services,348440 CAD,2018-12-08
120795,RO874231,Professional Services,130876 RON,2018-12-08
845446,RO657483,Various paper supplies,68880 RON,2018-12-14
705100,RO123456,IT Support,55603.2 USD,2018-12-20
341171,DE456232,Waste management services,151558 RON,2018-12-18
688665,RO125678,Concierge Services,74708.4 USD,2018-12-06
